index,Team_H,Score_H,Score_A,Team_A,Location,Season,GameIDs,Date,H_elo_Before,A_elo_Before,H_elo_After,A_elo_After,A_last_10_AVG_Against,A_last_10_AVG_Score,H_last_10_AVG_Against,H_last_10_AVG_Score,home_win
354,Giants Netball,58,50,Collingwood Magpies,QuayCentre,2019.0,298,2019-05-12,1540.5475455430235,1495.114082250192,1546.522896001789,1489.1387317914266,50.0,57.0,62.0,50.5,1
355,Collingwood Magpies,65,47,Adelaide Thunderbirds,Melbourne Arena,2019.0,299,2019-05-17,1489.1387317914266,1347.2640494102127,1495.4036347201682,1340.9991464814711,59.666666666666664,48.666666666666664,52.666666666666664,54.666666666666664,1
356,New South Wales Swifts,57,59,Sunshine Coast Lightning,QuayCentre,2019.0,300,2019-05-18,1524.9440712469984,1578.2577008681583,1520.100772153,1583.1009999621567,56.0,64.66666666666667,55.0,68.0,0
357,West Coast Fever,63,63,Melbourne Vixens,RAC Arena,2019.0,301,2019-05-18,1483.5504277278474,1588.8515208779536,1480.8972437214304,1591.5047048843705,49.333333333333336,64.0,73.66666666666667,60.333333333333336,0
358,Queensland Firebirds,61,69,Giants Netball,Queensland State Netball Centre,2019.0,302,2019-05-19,1545.5853180463725,1546.522896001789,1534.7579055876204,1557.350308460541,58.0,53.0,67.0,58.0,0
359,Collingwood Magpies,61,63,West Coast Fever,Bendigo Stadium,2019.0,303,2019-05-25,1495.4036347201682,1480.8972437214304,1489.3621744434517,1486.9387039981468,71.0,61.0,51.25,57.25,0
360,Sunshine Coast Lightning,72,61,Giants Netball,USC Stadium,2019.0,304,2019-05-25,1583.1009999621567,1557.350308460541,1591.0185967481402,1549.4327116745576,58.75,57.0,56.25,63.25,1
361,Melbourne Vixens,50,60,New South Wales Swifts,Margaret Court Arena,2019.0,305,2019-05-26,1591.5047048843705,1520.100772153,1576.2779823938235,1535.327494643547,56.0,65.25,52.75,63.75,0
362,Adelaide Thunderbirds,54,51,Queensland Firebirds,Priceline Stadium,2019.0,306,2019-05-26,1340.9991464814711,1534.7579055876204,1349.893974161567,1525.8630779075245,67.5,58.75,61.0,48.25,1
363,Sunshine Coast Lightning,52,62,Melbourne Vixens,USC Stadium,2019.0,307,2019-06-01,1591.0185967481402,1576.2779823938235,1578.0340562799013,1589.2625228620625,54.2,61.0,57.2,65.0,0
364,Queensland Firebirds,62,62,West Coast Fever,Queensland State Netball Centre,2019.0,308,2019-06-01,1525.8630779075245,1486.9387039981468,1521.5513081138317,1491.2504737918396,69.0,61.4,64.8,57.2,0
365,New South Wales Swifts,68,52,Collingwood Magpies,Qudos Bank Arena,2019.0,309,2019-06-02,1535.327494643547,1489.3621744434517,1544.5573987116688,1480.1322703753299,53.6,58.0,54.8,64.2,1
366,Giants Netball,65,54,Adelaide Thunderbirds,Qudos Bank Arena,2019.0,310,2019-06-02,1549.4327116745576,1349.893974161567,1552.7692464486356,1346.557439387489,59.0,49.4,61.4,57.8,1
367,Adelaide Thunderbirds,53,59,Sunshine Coast Lightning,Territory Netball Stadium,2019.0,311,2019-06-08,1346.557439387489,1578.0340562799013,1342.8795386781978,1581.7119569891925,58.0,62.833333333333336,60.0,50.166666666666664,0
368,West Coast Fever,62,62,Giants Netball,RAC Arena,2019.0,312,2019-06-08,1491.2504737918396,1552.7692464486356,1488.1242353281737,1555.8954849123015,60.166666666666664,59.0,67.83333333333333,61.5,0
369,Queensland Firebirds,46,68,New South Wales Swifts,Queensland State Netball Centre,2019.0,313,2019-06-09,1521.5513081138317,1544.5573987116688,1502.0946489101573,1564.0140579153433,54.333333333333336,64.83333333333333,64.33333333333333,58.0,0
370,Melbourne Vixens,52,55,Collingwood Magpies,Melbourne Arena,2019.0,314,2019-06-10,1589.2625228620625,1480.1322703753299,1580.2456664138815,1489.1491268235109,56.0,57.0,53.833333333333336,61.166666666666664,0
371,Sunshine Coast Lightning,64,41,Collingwood Magpies,USC Stadium,2019.0,315,2019-06-15,1581.7119569891925,1489.1491268235109,1591.2308012231053,1479.630282589598,55.42857142857143,56.714285714285715,57.285714285714285,62.285714285714285,1
372,West Coast Fever,53,52,Adelaide Thunderbirds,RAC Arena,2019.0,316,2019-06-15,1488.1242353281737,1342.8795386781978,1489.758139898908,1341.2456341074635,59.857142857142854,50.57142857142857,67.0,61.57142857142857,1
373,Queensland Firebirds,60,71,Melbourne Vixens,Queensland State Netball Centre,2019.0,317,2019-06-16,1502.0946489101573,1580.2456664138815,1492.0041108947012,1590.3362044293376,54.0,59.857142857142854,64.85714285714286,56.285714285714285,0
374,New South Wales Swifts,59,55,Giants Netball,Qudos Bank Arena,2019.0,318,2019-06-16,1564.0140579153433,1555.8954849123015,1568.9253479820895,1550.9841948455553,60.42857142857143,59.42857142857143,53.142857142857146,65.28571428571429,1
375,Sunshine Coast Lightning,65,57,West Coast Fever,USC Stadium,2019.0,319,2019-06-22,1591.2308012231053,1489.758139898908,1595.8096820042344,1485.1792591177789,65.125,60.5,55.25,62.5,1
376,Giants Netball,57,66,Melbourne Vixens,QuayCentre,2019.0,320,2019-06-22,1550.9841948455553,1590.3362044293376,1540.7441251161367,1600.5762741587562,54.75,61.25,60.25,58.875,0
377,Adelaide Thunderbirds,51,51,New South Wales Swifts,Adelaide Entertainment Centre,2019.0,321,2019-06-23,1341.2456341074635,1568.9253479820895,1339.6903373625112,1570.4806447270419,53.375,64.5,59.0,50.75,0
378,Collingwood Magpies,63,50,Queensland Firebirds,Melbourne Arena,2019.0,322,2019-06-23,1479.630282589598,1492.0041108947012,1490.006276227294,1481.6281172570052,65.625,56.75,56.5,54.75,1
379,Queensland Firebirds,64,66,Sunshine Coast Lightning,Queensland State Netball Centre,2019.0,323,2019-07-27,1481.6281172570052,1595.8096820042344,1477.7732120031944,1599.6645872580452,55.44444444444444,62.77777777777778,65.33333333333333,56.0,0
380,West Coast Fever,49,53,New South Wales Swifts,RAC Arena,2019.0,324,2019-07-27,1485.1792591177789,1570.4806447270419,1479.5364768141976,1576.1234270306231,53.111111111111114,63.0,65.11111111111111,60.111111111111114,0
381,Collingwood Magpies,56,63,Giants Netball,Melbourne Arena,2019.0,325,2019-07-28,1490.006276227294,1540.7441251161367,1481.4971102573234,1549.2532910861073,60.888888888888886,58.666666666666664,55.77777777777778,55.666666666666664,0
382,Melbourne Vixens,63,57,Adelaide Thunderbirds,Melbourne Arena,2019.0,326,2019-07-28,1600.5762741587562,1339.6903373625112,1602.2424984072504,1338.024113114017,58.111111111111114,50.77777777777778,55.0,61.77777777777778,1
383,Melbourne Vixens,64,52,West Coast Fever,Melbourne Arena,2019.0,327,2019-08-03,1602.2424984072504,1479.5364768141976,1607.5209358838615,1474.2580393375865,63.9,59.0,55.2,61.9,1
384,Sunshine Coast Lightning,50,48,New South Wales Swifts,USC Stadium,2019.0,328,2019-08-03,1599.6645872580452,1576.1234270306231,1603.1729832600947,1572.6150310285736,52.7,62.0,56.3,63.1,1
385,Giants Netball,63,57,Queensland Firebirds,AIS Arena,2019.0,329,2019-08-04,1549.2532910861073,1477.7732120031944,1553.7615474295872,1473.2649556597146,65.4,56.8,60.4,59.1,1
386,Adelaide Thunderbirds,46,46,Collingwood Magpies,Priceline Stadium,2019.0,330,2019-08-04,1338.024113114017,1481.4971102573234,1335.751872336418,1483.7693510349222,56.5,55.7,58.6,51.4,0
387,Giants Netball,56,60,Sunshine Coast Lightning,QuayCentre,2019.0,331,2019-08-10,1553.7615474295872,1603.1729832600947,1547.335020814628,1609.5995098750539,55.4,63.8,59.8,59.8,0
388,New South Wales Swifts,57,51,Melbourne Vixens,QuayCentre,2019.0,332,2019-08-10,1572.6150310285736,1607.5209358838615,1579.7917762203417,1600.3441906920934,54.3,61.0,52.1,60.5,1
389,Queensland Firebirds,59,71,Adelaide Thunderbirds,Queensland State Netball Centre,2019.0,333,2019-08-11,1473.2649556597146,1335.751872336418,1453.2210472448485,1355.7957807512842,57.2,49.9,64.4,56.4,0
390,West Coast Fever,57,63,Collingwood Magpies,RAC Arena,2019.0,334,2019-08-12,1474.2580393375865,1483.7693510349222,1465.2823813677214,1492.7450090047873,56.8,54.6,64.2,58.2,0
391,Collingwood Magpies,64,56,New South Wales Swifts,Silverdome,2019.0,335,2019-08-17,1492.7450090047873,1579.7917762203417,1503.0103527162669,1569.5264325088622,52.9,60.1,56.8,55.2,1
392,Adelaide Thunderbirds,40,54,Giants Netball,Priceline Stadium,2019.0,336,2019-08-18,1355.7957807512842,1547.335020814628,1348.4211966980029,1554.7096048679093,59.7,60.9,57.0,52.7,0
393,Melbourne Vixens,55,56,Sunshine Coast Lightning,Melbourne Arena,2019.0,337,2019-08-18,1600.3441906920934,1609.5995098750539,1595.6487736225943,1614.294926944553,55.5,61.8,55.5,60.0,0
394,West Coast Fever,62,68,Queensland Firebirds,RAC Arena,2019.0,338,2019-08-18,1465.2823813677214,1453.2210472448485,1455.6849375577206,1462.8184910548493,65.8,56.6,62.5,58.4,0
395,Giants Netball,70,60,West Coast Fever,Qudos Bank Arena,2019.0,339,2019-08-24,1554.7096048679093,1455.6849375577206,1560.0066072444406,1450.3879351811893,61.3,58.0,58.7,60.5,1
396,New South Wales Swifts,64,63,Queensland Firebirds,Qudos Bank Arena,2019.0,340,2019-08-24,1569.5264325088622,1462.8184910548493,1571.5127798134913,1460.8321437502202,64.9,57.8,52.7,57.7,1
397,Sunshine Coast Lightning,58,37,Adelaide Thunderbirds,USC Stadium,2019.0,341,2019-08-24,1614.294926944553,1348.4211966980029,1617.8447875756367,1344.8713360669192,56.6,52.5,55.4,60.3,1
398,Collingwood Magpies,58,47,Melbourne Vixens,Melbourne Arena,2019.0,342,2019-08-25,1503.0103527162669,1595.6487736225943,1515.7109966493097,1582.9481296895515,56.9,59.7,56.6,56.6,1
399,Queensland Firebirds,48,66,Sunshine Coast Lightning,Nissan Arena,2020.0,343,2020-08-01,1471.8741078126652,1589.6335906817276,1459.895613958363,1601.61208453603,0.0,0.0,0.0,0.0,0
400,Adelaide Thunderbirds,62,74,West Coast Fever,Nissan Arena,2020.0,344,2020-08-01,1384.9035020501894,1464.040951385892,1374.2793272362023,1474.665126199879,0.0,0.0,0.0,0.0,0
401,Giants Netball,61,63,New South Wales Swifts,Nissan Arena,2020.0,345,2020-08-02,1546.2549554333305,1554.8845848601186,1540.630683961479,1560.50885633197,0.0,0.0,0.0,0.0,0
402,Melbourne Vixens,63,52,Collingwood Magpies,Nissan Arena,2020.0,346,2020-08-02,1563.4610972671635,1513.0332474869822,1570.5440175705073,1505.9503271836384,0.0,0.0,0.0,0.0,1
403,Giants Netball,51,59,Adelaide Thunderbirds,Nissan Arena,2020.0,347,2020-08-08,1540.630683961479,1374.2793272362023,1523.9803338263923,1390.929677371289,74.0,62.0,63.0,61.0,0
404,Queensland Firebirds,50,78,Melbourne Vixens,Nissan Arena,2020.0,348,2020-08-08,1459.895613958363,1570.5440175705073,1443.0681455250217,1587.3714860038485,52.0,63.0,66.0,48.0,0
405,Sunshine Coast Lightning,51,47,Collingwood Magpies,USC Stadium,2020.0,349,2020-08-09,1601.61208453603,1505.9503271836384,1604.893893084241,1502.6685186354273,63.0,52.0,48.0,66.0,1
406,New South Wales Swifts,73,72,West Coast Fever,USC Stadium,2020.0,350,2020-08-09,1560.50885633197,1474.665126199879,1562.7088001029385,1472.4651824289106,62.0,74.0,61.0,63.0,1
407,Giants Netball,75,68,West Coast Fever,Nissan Arena,2020.0,351,2020-08-11,1523.9803338263923,1472.4651824289106,1529.3647215254446,1467.0807947298583,67.5,73.0,61.0,56.0,1
408,Queensland Firebirds,54,58,Collingwood Magpies,Nissan Arena,2020.0,352,2020-08-11,1443.0681455250217,1502.6685186354273,1436.8683265812226,1508.8683375792264,57.0,49.5,72.0,49.0,0
409,New South Wales Swifts,66,51,Adelaide Thunderbirds,USC Stadium,2020.0,353,2020-08-12,1562.7088001029385,1390.929677371289,1567.4445020097992,1386.1939754644284,62.5,60.5,66.5,68.0,1
410,Melbourne Vixens,63,51,Sunshine Coast Lightning,USC Stadium,2020.0,354,2020-08-12,1587.3714860038485,1604.893893084241,1597.4372352183987,1594.8281438696908,47.5,58.5,51.0,70.5,1
411,Collingwood Magpies,62,63,West Coast Fever,Nissan Arena,2020.0,355,2020-08-15,1508.8683375792264,1467.0807947298583,1503.396631324887,1472.5525009841976,70.0,71.33333333333333,56.0,52.333333333333336,0
412,Queensland Firebirds,61,61,Giants Netball,Nissan Arena,2020.0,356,2020-08-15,1436.8683265812226,1529.3647215254446,1434.0804743343517,1532.1525737723155,63.333333333333336,62.333333333333336,67.33333333333333,50.666666666666664,0
413,Sunshine Coast Lightning,65,58,New South Wales Swifts,USC Stadium,2020.0,357,2020-08-16,1594.8281438696908,1567.4445020097992,1600.8336071185156,1561.4390387609744,61.333333333333336,67.33333333333333,52.666666666666664,56.0,1
414,Melbourne Vixens,47,54,Adelaide Thunderbirds,USC Stadium,2020.0,358,2020-08-16,1597.4372352183987,1386.1939754644284,1580.5539778917293,1403.0772327910977,63.666666666666664,57.333333333333336,51.0,68.0,0
415,West Coast Fever,59,68,Melbourne Vixens,Nissan Arena,2020.0,359,2020-08-18,1472.5525009841976,1580.5539778917293,1464.5943704260699,1588.5121084498571,51.75,62.75,68.0,69.25,0
416,Queensland Firebirds,57,64,New South Wales Swifts,Nissan Arena,2020.0,360,2020-08-18,1434.0804743343517,1561.4390387609744,1427.7161018550444,1567.8034112402818,62.25,65.0,65.75,53.25,0
417,Collingwood Magpies,52,60,Adelaide Thunderbirds,USC Stadium,2020.0,361,2020-08-19,1503.396631324887,1403.0772327910977,1489.0621126170397,1417.411751498945,59.5,56.5,57.75,54.75,0
418,Sunshine Coast Lightning,58,57,Giants Netball,USC Stadium,2020.0,362,2020-08-19,1600.8336071185156,1532.1525737723155,1603.2214873164241,1529.764693574407,62.75,62.0,54.0,58.25,1
419,New South Wales Swifts,60,58,Collingwood Magpies,Nissan Arena,2020.0,363,2020-08-22,1567.8034112402818,1489.0621126170397,1570.5246809599969,1486.3408428973246,58.2,54.2,61.2,64.8,1
420,West Coast Fever,57,68,Queensland Firebirds,Nissan Arena,2020.0,364,2020-08-22,1464.5943704260699,1427.7161018550444,1449.8938314069512,1442.416640874163,65.4,54.0,68.0,67.2,0
421,Melbourne Vixens,63,58,Giants Netball,USC Stadium,2020.0,365,2020-08-23,1588.5121084498571,1529.764693574407,1592.8678521421718,1525.4089498820922,61.8,61.0,53.2,63.8,1
422,Sunshine Coast Lightning,53,45,Adelaide Thunderbirds,USC Stadium,2020.0,366,2020-08-23,1603.2214873164241,1417.411751498945,1606.1844961270453,1414.4487426883238,58.0,57.2,54.6,58.2,1
423,West Coast Fever,71,57,Collingwood Magpies,Nissan Arena,2020.0,367,2020-08-25,1449.8938314069512,1486.3408428973246,1461.9041466363674,1474.3305276679084,58.5,54.833333333333336,68.0,65.5,1
424,Giants Netball,66,65,Queensland Firebirds,Nissan Arena,2020.0,368,2020-08-25,1525.4089498820922,1442.416640874163,1527.6393503579516,1440.1862403983037,64.0,56.333333333333336,62.0,60.5,1
425,New South Wales Swifts,61,54,Sunshine Coast Lightning,Nissan Arena,2020.0,369,2020-08-26,1570.5246809599969,1606.1844961270453,1578.3560306991478,1598.3531463878944,53.0,57.333333333333336,60.666666666666664,64.0,1
426,Adelaide Thunderbirds,43,50,Melbourne Vixens,Nissan Arena,2020.0,370,2020-08-26,1414.4487426883238,1592.8678521421718,1409.3315855608591,1597.9850092696365,54.0,63.666666666666664,57.166666666666664,55.166666666666664,0
427,Melbourne Vixens,63,60,New South Wales Swifts,Nissan Arena,2020.0,371,2020-08-29,1597.9850092696365,1578.3560306991478,1602.1147886906224,1574.226251278162,59.714285714285715,63.57142857142857,52.42857142857143,61.714285714285715,1
428,Collingwood Magpies,54,69,Giants Netball,Nissan Arena,2020.0,372,2020-08-29,1474.3305276679084,1527.6393503579516,1460.8349764022148,1541.1349016236452,62.42857142857143,61.285714285714285,60.285714285714285,55.142857142857146,0
429,Queensland Firebirds,54,53,Adelaide Thunderbirds,Nissan Arena,2020.0,373,2020-08-30,1440.1862403983037,1409.3315855608591,1443.0273206929303,1406.4905052662325,56.142857142857146,53.42857142857143,64.28571428571429,57.57142857142857,1
430,West Coast Fever,80,56,Sunshine Coast Lightning,Nissan Arena,2020.0,374,2020-08-30,1461.9041466363674,1598.3531463878944,1486.8161101996086,1573.4411828246532,54.142857142857146,56.857142857142854,66.42857142857143,66.28571428571429,1
431,Giants Netball,53,73,Melbourne Vixens,Nissan Arena,2020.0,375,2020-09-01,1541.1349016236452,1602.1147886906224,1525.1560916434466,1618.093598670821,53.375,61.875,61.375,62.25,0
432,Collingwood Magpies,54,69,New South Wales Swifts,Nissan Arena,2020.0,376,2020-09-01,1460.8349764022148,1574.226251278162,1450.059862304908,1585.0013653754688,60.125,63.125,61.375,55.0,0
433,Adelaide Thunderbirds,50,56,Sunshine Coast Lightning,Nissan Arena,2020.0,377,2020-09-02,1406.4905052662325,1573.4411828246532,1401.5426797204814,1578.3890083704043,57.375,56.75,55.875,53.375,0
434,Queensland Firebirds,60,71,West Coast Fever,Nissan Arena,2020.0,378,2020-09-02,1443.0273206929303,1486.8161101996086,1431.6180095764523,1498.2254213160866,65.125,68.0,62.875,57.125,0
435,Melbourne Vixens,63,63,West Coast Fever,Nissan Arena,2020.0,379,2020-09-05,1618.093598670821,1498.2254213160866,1612.781515031396,1503.5375049555114,64.55555555555556,68.33333333333333,53.333333333333336,63.111111111111114,0
436,New South Wales Swifts,64,77,Queensland Firebirds,Nissan Arena,2020.0,380,2020-09-05,1585.0013653754688,1431.6180095764523,1563.1444063921108,1453.4749685598103,63.77777777777778,57.44444444444444,59.44444444444444,63.77777777777778,0
437,Giants Netball,65,67,Sunshine Coast Lightning,Nissan Arena,2020.0,381,2020-09-06,1525.1560916434466,1578.3890083704043,1520.3114181511828,1583.2336818626682,56.55555555555556,56.666666666666664,62.666666666666664,61.22222222222222,0
438,Adelaide Thunderbirds,61,49,Collingwood Magpies,Priceline Stadium,2020.0,382,2020-09-06,1401.5426797204814,1450.059862304908,1412.935897237042,1438.6666447883474,62.22222222222222,54.888888888888886,55.888888888888886,53.0,1
439,New South Wales Swifts,59,62,Melbourne Vixens,USC Stadium,2020.0,383,2020-09-08,1563.1444063921108,1612.781515031396,1557.4679518371015,1618.4579695864054,54.3,63.1,61.2,63.8,0
440,Sunshine Coast Lightning,52,72,West Coast Fever,USC Stadium,2020.0,384,2020-09-08,1583.2336818626682,1503.5375049555114,1558.6760713744086,1528.095115443771,64.4,67.8,57.4,57.7,0
441,Giants Netball,62,58,Collingwood Magpies,USC Stadium,2020.0,385,2020-09-09,1520.3114181511828,1438.6666447883474,1523.8240081427814,1435.1540547967488,62.1,54.3,63.1,61.6,1
442,Adelaide Thunderbirds,59,61,Queensland Firebirds,Priceline Stadium,2020.0,386,2020-09-09,1412.935897237042,1453.4749685598103,1407.873290011465,1458.5375757853872,63.8,59.4,55.2,53.8,0
443,West Coast Fever,80,71,New South Wales Swifts,Nissan Arena,2020.0,387,2020-09-12,1528.095115443771,1557.4679518371015,1536.9311628857565,1548.631904395116,61.3,63.4,63.4,67.6,1
444,Collingwood Magpies,53,61,Melbourne Vixens,Nissan Arena,2020.0,388,2020-09-12,1435.1540547967488,1618.4579695864054,1429.7508229564423,1623.861201426712,55.0,63.0,62.0,54.9,0
445,Sunshine Coast Lightning,75,67,Queensland Firebirds,USC Stadium,2020.0,389,2020-09-13,1558.6760713744086,1458.5375757853872,1563.2851256051056,1453.9285215546902,63.1,60.7,59.8,56.3,1
446,Adelaide Thunderbirds,54,64,Giants Netball,Priceline Stadium,2020.0,390,2020-09-13,1407.873290011465,1523.8240081427814,1399.6522533588193,1532.0450447954272,62.6,61.7,53.9,53.5,0
447,Collingwood Magpies,53,63,Sunshine Coast Lightning,Townsville Entertainment Centre,2020.0,391,2020-09-16,1429.7508229564423,1563.2851256051056,1422.0966813035002,1570.9392672580477,61.8,58.7,63.0,55.5,0
448,West Coast Fever,71,66,Giants Netball,Cairns Pop Up Arena,2020.0,392,2020-09-19,1536.9311628857565,1532.0450447954272,1542.4724603803104,1526.5037473008733,62.1,63.0,63.2,68.4,1
449,Adelaide Thunderbirds,54,57,New South Wales Swifts,Cairns Pop Up Arena,2020.0,393,2020-09-19,1399.6522533588193,1548.631904395116,1395.7870091659324,1552.4971485880028,62.1,63.2,55.2,53.0,0
450,Melbourne Vixens,58,64,Queensland Firebirds,Cairns Pop Up Arena,2020.0,394,2020-09-20,1623.861201426712,1453.9285215546902,1609.573507814965,1468.216215166437,62.8,62.4,55.3,61.3,0
451,Collingwood Magpies,63,65,Queensland Firebirds,Nissan Arena,2020.0,395,2020-09-26,1422.0966813035002,1468.216215166437,1417.1303097220955,1473.1825867478417,62.8,63.4,63.9,55.0,0
452,New South Wales Swifts,77,77,Giants Netball,Nissan Arena,2020.0,396,2020-09-26,1552.4971485880028,1526.5037473008733,1548.3431219145189,1530.6577739743573,62.4,62.1,62.4,62.3,0
453,West Coast Fever,63,64,Adelaide Thunderbirds,Nissan Arena,2020.0,397,2020-09-26,1542.4724603803104,1395.7870091659324,1535.366881487157,1402.892588059086,54.3,53.3,62.3,68.7,0
454,Sunshine Coast Lightning,54,58,Melbourne Vixens,USC Stadium,2020.0,398,2020-09-27,1570.9392672580477,1609.573507814965,1564.2696932203,1616.2430818527127,56.6,60.8,60.8,59.9,0
