Date,Team_H,Score_H,Score_A,Team_A,Location,Season
13 May,Collingwood Magpies,62,50,New South Wales Swifts,Hisense Arena,2017.0
13 May,Queensland Firebirds,59,48,Adelaide Thunderbirds,Brisbane Entertainment Centre,2017.0
14 May,Giants Netball,56,52,Melbourne Vixens,AIS Arena,2017.0
19 May,Giants Netball,53,56,Queensland Firebirds,Sydney Olympic Park Sports Centre,2017.0
20 May,West Coast Fever,42,49,Collingwood Magpies,Perth Arena,2017.0
20 May,Sunshine Coast Lightning,63,49,New South Wales Swifts,University of the Sunshine Coast Stadium,2017.0
21 May,Melbourne Vixens,71,50,Adelaide Thunderbirds,Margaret Court Arena,2017.0
27 May,New South Wales Swifts,48,67,Queensland Firebirds,Qudos Bank Arena,2017.0
27 May,West Coast Fever,42,68,Melbourne Vixens,Perth Arena,2017.0
27 May,Giants Netball,55,56,Sunshine Coast Lightning,Qudos Bank Arena,2017.0
28 May,Adelaide Thunderbirds,47,49,Collingwood Magpies,Titanium Security Arena,2017.0
18 Feb,Giants Netball,58,53,New South Wales Swifts,Sydney Olympic Park Sports Centre,2017.0
18 Feb,Melbourne Vixens,58,55,Collingwood Magpies,Hisense Arena,2017.0
18 Feb,Queensland Firebirds,56,56,Sunshine Coast Lightning,Brisbane Entertainment Centre,2017.0
19 Feb,Adelaide Thunderbirds,56,51,West Coast Fever,Priceline Stadium,2017.0
25 Feb,New South Wales Swifts,54,44,Adelaide Thunderbirds,Qudos Bank Arena,2017.0
25 Feb,Giants Netball,66,51,West Coast Fever,Qudos Bank Arena,2017.0
25 Feb,Queensland Firebirds,50,54,Collingwood Magpies,Brisbane Convention & Exhibition Centre,2017.0
26 Feb,Sunshine Coast Lightning,58,52,Melbourne Vixens,University of the Sunshine Coast Stadium,2017.0
3 Mar,West Coast Fever,47,60,Queensland Firebirds,Perth Arena,2017.0
4 Mar,Collingwood Magpies,51,59,Giants Netball,Hisense Arena,2017.0
4 Mar,Melbourne Vixens,59,59,New South Wales Swifts,Hisense Arena,2017.0
5 Mar,Adelaide Thunderbirds,42,51,Sunshine Coast Lightning,Priceline Stadium,2017.0
10 Mar,Queensland Firebirds,62,53,New South Wales Swifts,Brisbane Convention & Exhibition Centre,2017.0
11 Mar,Melbourne Vixens,56,45,West Coast Fever,Hisense Arena,2017.0
11 Mar,Sunshine Coast Lightning,54,55,Giants Netball,University of the Sunshine Coast Stadium,2017.0
12 Mar,Collingwood Magpies,64,45,Adelaide Thunderbirds,Hisense Arena,2017.0
17 Mar,West Coast Fever,50,45,New South Wales Swifts,HBF Stadium,2017.0
18 Mar,Queensland Firebirds,50,66,Melbourne Vixens,Brisbane Entertainment Centre,2017.0
18 Mar,Sunshine Coast Lightning,51,50,Collingwood Magpies,Brisbane Entertainment Centre,2017.0
19 Mar,Giants Netball,53,38,Adelaide Thunderbirds,AIS Arena,2017.0
24 Mar,West Coast Fever,49,66,Sunshine Coast Lightning,HBF Stadium,2017.0
25 Mar,Melbourne Vixens,59,51,Giants Netball,Hisense Arena,2017.0
25 Mar,Adelaide Thunderbirds,39,49,Queensland Firebirds,Titanium Security Arena,2017.0
26 Mar,New South Wales Swifts,54,55,Collingwood Magpies,Sydney Olympic Park Sports Centre,2017.0
1 Apr,New South Wales Swifts,56,59,Giants Netball,Sydney Olympic Park Sports Centre,2017.0
1 Apr,West Coast Fever,57,40,Adelaide Thunderbirds,Perth Arena,2017.0
2 Apr,Sunshine Coast Lightning,60,49,Queensland Firebirds,University of the Sunshine Coast Stadium,2017.0
2 Apr,Collingwood Magpies,56,60,Melbourne Vixens,Hisense Arena,2017.0
7 Apr,Collingwood Magpies,56,43,West Coast Fever,Hisense Arena,2017.0
8 Apr,Queensland Firebirds,51,55,Giants Netball,Gold Coast Convention & Exhibition Centre,2017.0
8 Apr,Adelaide Thunderbirds,54,75,Melbourne Vixens,Priceline Stadium,2017.0
9 Apr,New South Wales Swifts,50,55,Sunshine Coast Lightning,Sydney Olympic Park Sports Centre,2017.0
22 Apr,Sunshine Coast Lightning,59,50,Adelaide Thunderbirds,Brisbane Entertainment Centre,2017.0
22 Apr,Queensland Firebirds,55,50,West Coast Fever,Brisbane Entertainment Centre,2017.0
23 Apr,Giants Netball,56,59,Collingwood Magpies,Qudos Bank Arena,2017.0
23 Apr,New South Wales Swifts,54,62,Melbourne Vixens,Qudos Bank Arena,2017.0
29 Apr,Melbourne Vixens,70,59,Sunshine Coast Lightning,Margaret Court Arena,2017.0
29 Apr,Adelaide Thunderbirds,48,51,New South Wales Swifts,Titanium Security Arena,2017.0
30 Apr,Collingwood Magpies,61,59,Queensland Firebirds,Silverdome,2017.0
30 Apr,West Coast Fever,45,48,Giants Netball,HBF Stadium,2017.0
5 May,New South Wales Swifts,50,48,West Coast Fever,Sydney Olympic Park Sports Centre,2017.0
6 May,Melbourne Vixens,66,55,Queensland Firebirds,Hisense Arena,2017.0
6 May,Collingwood Magpies,49,56,Sunshine Coast Lightning,Hisense Arena,2017.0
7 May,Adelaide Thunderbirds,47,49,Giants Netball,Priceline Stadium,2017.0
12 May,Sunshine Coast Lightning,64,50,West Coast Fever,University of the Sunshine Coast Stadium,2017.0
13 May,Collingwood Magpies,62,50,New South Wales Swifts,Hisense Arena,2017.0
13 May,Queensland Firebirds,59,48,Adelaide Thunderbirds,Brisbane Entertainment Centre,2017.0
14 May,Giants Netball,56,52,Melbourne Vixens,AIS Arena,2017.0
19 May,Giants Netball,53,56,Queensland Firebirds,Sydney Olympic Park Sports Centre,2017.0
20 May,West Coast Fever,42,49,Collingwood Magpies,Perth Arena,2017.0
20 May,Sunshine Coast Lightning,63,49,New South Wales Swifts,University of the Sunshine Coast Stadium,2017.0
21 May,Melbourne Vixens,71,50,Adelaide Thunderbirds,Margaret Court Arena,2017.0
27 May,New South Wales Swifts,48,67,Queensland Firebirds,Qudos Bank Arena,2017.0
27 May,West Coast Fever,42,68,Melbourne Vixens,Perth Arena,2017.0
27 May,Giants Netball,55,56,Sunshine Coast Lightning,Qudos Bank Arena,2017.0
28 May,Adelaide Thunderbirds,47,49,Collingwood Magpies,Titanium Security Arena,2017.0
Sat 28 Apr,Melbourne Vixens,59,58,Collingwood Magpies,Hisense Arena,2018.0
Sun 29 Apr,Adelaide Thunderbirds,56,74,West Coast Fever,Priceline Stadium,2018.0
Sun 29 Apr,Giants Netball,54,51,Sunshine Coast Lightning,Qudos Bank Arena,2018.0
Sun 29 Apr,New South Wales Swifts,54,53,Queensland Firebirds,Qudos Bank Arena,2018.0
Sat 5 May,Adelaide Thunderbirds,48,71,Giants Netball,Priceline Stadium,2018.0
Sat 5 May,West Coast Fever,68,57,Collingwood Magpies,Perth Arena,2018.0
Sun 6 May,Queensland Firebirds,55,52,Sunshine Coast Lightning,Brisbane Entertainment Centre,2018.0
Sun 6 May,Melbourne Vixens,63,61,New South Wales Swifts,Margaret Court Arena,2018.0
Sat 12 May,Melbourne Vixens,55,59,Queensland Firebirds,Hisense Arena,2018.0
Sat 12 May,Sunshine Coast Lightning,55,56,West Coast Fever,University of Sunshine Coast Stadium,2018.0
Sat 12 May,Collingwood Magpies,70,50,Adelaide Thunderbirds,Hisense Arena,2018.0
Sun 13 May,New South Wales Swifts,55,54,Giants Netball,Qudos Bank Arena,2018.0
Sat 19 May,Giants Netball,53,51,Queensland Firebirds,State Sports Centre,2018.0
Sun 20 May,Adelaide Thunderbirds,50,72,Melbourne Vixens,Priceline Stadium,2018.0
Sun 20 May,Collingwood Magpies,50,52,Sunshine Coast Lightning,Margaret Court Arena,2018.0
Sun 20 May,West Coast Fever,63,54,New South Wales Swifts,HBF Stadium,2018.0
Sat 26 May,Queensland Firebirds,71,61,West Coast Fever,Brisbane Entertainment Centre,2018.0
Sun 27 May,New South Wales Swifts,64,54,Collingwood Magpies,State Sports Centre,2018.0
Sun 27 May,Sunshine Coast Lightning,60,51,Adelaide Thunderbirds,University of Sunshine Coast Stadium,2018.0
Sun 27 May,Giants Netball,58,51,Melbourne Vixens,State Sports Centre,2018.0
Sat 2 Jun,Sunshine Coast Lightning,64,56,Melbourne Vixens,University of Sunshine Coast Stadium,2018.0
Sat 2 Jun,West Coast Fever,63,61,Giants Netball,Perth Arena,2018.0
Sun 3 Jun,New South Wales Swifts,51,49,Adelaide Thunderbirds,State Sports Centre,2018.0
Sun 3 Jun,Collingwood Magpies,67,62,Queensland Firebirds,Silverdome,2018.0
Sat 16 Jun,Melbourne Vixens,74,60,West Coast Fever,Hisense Arena,2018.0
Sun 17 Jun,Adelaide Thunderbirds,42,66,Queensland Firebirds,Priceline Stadium,2018.0
Sun 17 Jun,Giants Netball,63,60,Collingwood Magpies,Qudos Bank Arena,2018.0
Sun 17 Jun,New South Wales Swifts,59,56,Sunshine Coast Lightning,Qudos Bank Arena,2018.0
Sat 23 Jun,Sunshine Coast Lightning,53,53,Giants Netball,University of Sunshine Coast Stadium,2018.0
Sat 23 Jun,West Coast Fever,76,56,Adelaide Thunderbirds,Perth Arena,2018.0
Sun 24 Jun,Collingwood Magpies,57,65,Melbourne Vixens,Margaret Court Arena,2018.0
Sun 24 Jun,Queensland Firebirds,60,57,New South Wales Swifts,Brisbane Entertainment Centre,2018.0
Sat 30 Jun,New South Wales Swifts,58,65,Melbourne Vixens,State Sports Centre,2018.0
Sat 30 Jun,Collingwood Magpies,57,70,West Coast Fever,Margaret Court Arena,2018.0
Sun 1 Jul,Sunshine Coast Lightning,58,57,Queensland Firebirds,University of Sunshine Coast Stadium,2018.0
Sun 1 Jul,Giants Netball,63,44,Adelaide Thunderbirds,AIS Arena,2018.0
Sat 7 Jul,Queensland Firebirds,57,58,Melbourne Vixens,Gold Coast Sports and Leisure Centre [7],2018.0
Sat 7 Jul,West Coast Fever,59,58,Sunshine Coast Lightning,HBF Stadium,2018.0
Sun 8 Jul,Adelaide Thunderbirds,48,58,Collingwood Magpies,Adelaide Entertainment Centre,2018.0
Sun 8 Jul,Giants Netball,66,56,New South Wales Swifts,International Convention Centre,2018.0
Sat 14 Jul,Sunshine Coast Lightning,58,56,Collingwood Magpies,University of Sunshine Coast Stadium,2018.0
Sat 14 Jul,New South Wales Swifts,68,74,West Coast Fever,State Sports Centre,2018.0
Sun 15 Jul,Queensland Firebirds,64,50,Giants Netball,Brisbane Entertainment Centre,2018.0
Sun 15 Jul,Melbourne Vixens,73,48,Adelaide Thunderbirds,Hisense Arena,2018.0
Sat 21 Jul,Collingwood Magpies,57,57,New South Wales Swifts,Hisense Arena,2018.0
Sat 21 Jul,West Coast Fever,54,60,Queensland Firebirds,Perth Arena,2018.0
Sun 22 Jul,Melbourne Vixens,58,60,Giants Netball,Hisense Arena,2018.0
Sun 22 Jul,Adelaide Thunderbirds,44,75,Sunshine Coast Lightning,Priceline Stadium,2018.0
Sat 28 Jul,Sunshine Coast Lightning,61,51,New South Wales Swifts,University of Sunshine Coast Stadium,2018.0
Sun 29 Jul,Queensland Firebirds,67,46,Adelaide Thunderbirds,Brisbane Entertainment Centre,2018.0
Sun 29 Jul,Collingwood Magpies,56,66,Giants Netball,Hisense Arena,2018.0
Sun 29 Jul,West Coast Fever,68,55,Melbourne Vixens,Perth Arena,2018.0
Fri 3 Aug,Adelaide Thunderbirds,41,69,New South Wales Swifts,Priceline Stadium,2018.0
Sat 4 Aug,Queensland Firebirds,76,44,Collingwood Magpies,Brisbane Entertainment Centre,2018.0
Sat 4 Aug,Giants Netball,69,66,West Coast Fever,International Convention Centre,2018.0
Sun 5 Aug,Melbourne Vixens,51,56,Sunshine Coast Lightning,Hisense Arena,2018.0
Sat 27 Apr,Melbourne Vixens,73,61,Queensland Firebirds,Melbourne Arena,2019.0
Sat 27 Apr,Collingwood Magpies,57,43,Sunshine Coast Lightning,Melbourne Arena,2019.0
Sun 28 Apr,Giants Netball,56,63,New South Wales Swifts,Qudos Bank Arena,2019.0
Sun 28 Apr,Adelaide Thunderbirds,61,60,West Coast Fever,Priceline Stadium,2019.0
Sat 4 May,Queensland Firebirds,57,57,Collingwood Magpies,Queensland State Netball Centre,2019.0
Sun 5 May,West Coast Fever,55,80,Sunshine Coast Lightning,RAC Arena,2019.0
Sun 5 May,New South Wales Swifts,61,43,Adelaide Thunderbirds,QuayCentre,2019.0
Sun 5 May,Melbourne Vixens,61,45,Giants Netball,Melbourne Arena,2019.0
Sat 11 May,Adelaide Thunderbirds,42,58,Melbourne Vixens,Priceline Stadium,2019.0
Sun 12 May,Sunshine Coast Lightning,71,56,Queensland Firebirds,Brisbane Entertainment Centre,2019.0
Sun 12 May,New South Wales Swifts,80,66,West Coast Fever,QuayCentre,2019.0
Sun 12 May,Giants Netball,58,50,Collingwood Magpies,QuayCentre,2019.0
Fri 17 May,Collingwood Magpies,65,47,Adelaide Thunderbirds,Melbourne Arena,2019.0
Sat 18 May,New South Wales Swifts,57,59,Sunshine Coast Lightning,QuayCentre,2019.0
Sat 18 May,West Coast Fever,63,63,Melbourne Vixens,RAC Arena,2019.0
Sun 19 May,Queensland Firebirds,61,69,Giants Netball,Queensland State Netball Centre,2019.0
Sat 25 May,Collingwood Magpies,61,63,West Coast Fever,Bendigo Stadium,2019.0
Sat 25 May,Sunshine Coast Lightning,72,61,Giants Netball,USC Stadium,2019.0
Sun 26 May,Melbourne Vixens,50,60,New South Wales Swifts,Margaret Court Arena,2019.0
Sun 26 May,Adelaide Thunderbirds,54,51,Queensland Firebirds,Priceline Stadium,2019.0
Sat 1 Jun,Sunshine Coast Lightning,52,62,Melbourne Vixens,USC Stadium,2019.0
Sat 1 Jun,Queensland Firebirds,62,62,West Coast Fever,Queensland State Netball Centre,2019.0
Sun 2 Jun,New South Wales Swifts,68,52,Collingwood Magpies,Qudos Bank Arena,2019.0
Sun 2 Jun,Giants Netball,65,54,Adelaide Thunderbirds,Qudos Bank Arena,2019.0
Sat 8 Jun,Adelaide Thunderbirds,53,59,Sunshine Coast Lightning,Territory Netball Stadium,2019.0
Sat 8 Jun,West Coast Fever,62,62,Giants Netball,RAC Arena,2019.0
Sun 9 Jun,Queensland Firebirds,46,68,New South Wales Swifts,Queensland State Netball Centre,2019.0
Mon 10 Jun,Melbourne Vixens,52,55,Collingwood Magpies,Melbourne Arena,2019.0
Sat 15 Jun,Sunshine Coast Lightning,64,41,Collingwood Magpies,USC Stadium,2019.0
Sat 15 Jun,West Coast Fever,53,52,Adelaide Thunderbirds,RAC Arena,2019.0
Sun 16 Jun,Queensland Firebirds,60,71,Melbourne Vixens,Queensland State Netball Centre,2019.0
Sun 16 Jun,New South Wales Swifts,59,55,Giants Netball,Qudos Bank Arena,2019.0
Sat 22 Jun,Sunshine Coast Lightning,65,57,West Coast Fever,USC Stadium,2019.0
Sat 22 Jun,Giants Netball,57,66,Melbourne Vixens,QuayCentre,2019.0
Sun 23 Jun,Adelaide Thunderbirds,51,51,New South Wales Swifts,Adelaide Entertainment Centre,2019.0
Sun 23 Jun,Collingwood Magpies,63,50,Queensland Firebirds,Melbourne Arena,2019.0
Sat 27 Jul,Queensland Firebirds,64,66,Sunshine Coast Lightning,Queensland State Netball Centre,2019.0
Sat 27 Jul,West Coast Fever,49,53,New South Wales Swifts,RAC Arena,2019.0
Sun 28 Jul,Collingwood Magpies,56,63,Giants Netball,Melbourne Arena,2019.0
Sun 28 Jul,Melbourne Vixens,63,57,Adelaide Thunderbirds,Melbourne Arena,2019.0
Sat 3 Aug,Melbourne Vixens,64,52,West Coast Fever,Melbourne Arena,2019.0
Sat 3 Aug,Sunshine Coast Lightning,50,48,New South Wales Swifts,USC Stadium,2019.0
Sun 4 Aug,Giants Netball,63,57,Queensland Firebirds,AIS Arena,2019.0
Sun 4 Aug,Adelaide Thunderbirds,46,46,Collingwood Magpies,Priceline Stadium,2019.0
Sat 10 Aug,Giants Netball,56,60,Sunshine Coast Lightning,QuayCentre,2019.0
Sat 10 Aug,New South Wales Swifts,57,51,Melbourne Vixens,QuayCentre,2019.0
Sun 11 Aug,Queensland Firebirds,59,71,Adelaide Thunderbirds,Queensland State Netball Centre,2019.0
Mon 12 Aug,West Coast Fever,57,63,Collingwood Magpies,RAC Arena,2019.0
Sat 17 Aug,Collingwood Magpies,64,56,New South Wales Swifts,Silverdome,2019.0
Sun 18 Aug,Adelaide Thunderbirds,40,54,Giants Netball,Priceline Stadium,2019.0
Sun 18 Aug,Melbourne Vixens,55,56,Sunshine Coast Lightning,Melbourne Arena,2019.0
Sun 18 Aug,West Coast Fever,62,68,Queensland Firebirds,RAC Arena,2019.0
Sat 24 Aug,Giants Netball,70,60,West Coast Fever,Qudos Bank Arena,2019.0
Sat 24 Aug,New South Wales Swifts,64,63,Queensland Firebirds,Qudos Bank Arena,2019.0
Sat 24 Aug,Sunshine Coast Lightning,58,37,Adelaide Thunderbirds,USC Stadium,2019.0
Sun 25 Aug,Collingwood Magpies,58,47,Melbourne Vixens,Melbourne Arena,2019.0
Sat 1 Aug,Queensland Firebirds,48,66,Sunshine Coast Lightning,Nissan Arena,2020.0
Sat 1 Aug,Adelaide Thunderbirds,62,74,West Coast Fever,Nissan Arena,2020.0
Sun 2 Aug,Giants Netball,61,63,New South Wales Swifts,Nissan Arena,2020.0
Sun 2 Aug,Melbourne Vixens,63,52,Collingwood Magpies,Nissan Arena,2020.0
Sat 8 Aug,Giants Netball,51,59,Adelaide Thunderbirds,Nissan Arena,2020.0
Sat 8 Aug,Queensland Firebirds,50,78,Melbourne Vixens,Nissan Arena,2020.0
Sun 9 Aug,Sunshine Coast Lightning,51,47,Collingwood Magpies,USC Stadium,2020.0
Sun 9 Aug,New South Wales Swifts,73,72,West Coast Fever,USC Stadium,2020.0
Tue 11 Aug,Giants Netball,75,68,West Coast Fever,Nissan Arena,2020.0
Tue 11 Aug,Queensland Firebirds,54,58,Collingwood Magpies,Nissan Arena,2020.0
Wed 12 Aug,New South Wales Swifts,66,51,Adelaide Thunderbirds,USC Stadium,2020.0
Wed 12 Aug,Melbourne Vixens,63,51,Sunshine Coast Lightning,USC Stadium,2020.0
Sat 15 Aug,Collingwood Magpies,62,63,West Coast Fever,Nissan Arena,2020.0
Sat 15 Aug,Queensland Firebirds,61,61,Giants Netball,Nissan Arena,2020.0
Sun 16 Aug,Sunshine Coast Lightning,65,58,New South Wales Swifts,USC Stadium,2020.0
Sun 16 Aug,Melbourne Vixens,47,54,Adelaide Thunderbirds,USC Stadium,2020.0
Tue 18 Aug,West Coast Fever,59,68,Melbourne Vixens,Nissan Arena,2020.0
Tue 18 Aug,Queensland Firebirds,57,64,New South Wales Swifts,Nissan Arena,2020.0
Wed 19 Aug,Collingwood Magpies,52,60,Adelaide Thunderbirds,USC Stadium,2020.0
Wed 19 Aug,Sunshine Coast Lightning,58,57,Giants Netball,USC Stadium,2020.0
Sat 22 Aug,New South Wales Swifts,60,58,Collingwood Magpies,Nissan Arena,2020.0
Sat 22 Aug,West Coast Fever,57,68,Queensland Firebirds,Nissan Arena,2020.0
Sun 23 Aug,Melbourne Vixens,63,58,Giants Netball,USC Stadium,2020.0
Sun 23 Aug,Sunshine Coast Lightning,53,45,Adelaide Thunderbirds,USC Stadium,2020.0
Tue 25 Aug,West Coast Fever,71,57,Collingwood Magpies,Nissan Arena,2020.0
Tue 25 Aug,Giants Netball,66,65,Queensland Firebirds,Nissan Arena,2020.0
Wed 26 Aug,New South Wales Swifts,61,54,Sunshine Coast Lightning,Nissan Arena,2020.0
Wed 26 Aug,Adelaide Thunderbirds,43,50,Melbourne Vixens,Nissan Arena,2020.0
Sat 29 Aug,Melbourne Vixens,63,60,New South Wales Swifts,Nissan Arena,2020.0
Sat 29 Aug,Collingwood Magpies,54,69,Giants Netball,Nissan Arena,2020.0
Sun 30 Aug,Queensland Firebirds,54,53,Adelaide Thunderbirds,Nissan Arena,2020.0
Sun 30 Aug,West Coast Fever,80,56,Sunshine Coast Lightning,Nissan Arena,2020.0
Tue 1 Sep,Giants Netball,53,73,Melbourne Vixens,Nissan Arena,2020.0
Tue 1 Sep,Collingwood Magpies,54,69,New South Wales Swifts,Nissan Arena,2020.0
Wed 2 Sep,Adelaide Thunderbirds,50,56,Sunshine Coast Lightning,Nissan Arena,2020.0
Wed 2 Sep,Queensland Firebirds,60,71,West Coast Fever,Nissan Arena,2020.0
Sat 5 Sep,Melbourne Vixens,63,63,West Coast Fever,Nissan Arena,2020.0
Sat 5 Sep,New South Wales Swifts,64,77,Queensland Firebirds,Nissan Arena,2020.0
Sun 6 Sep,Giants Netball,65,67,Sunshine Coast Lightning,Nissan Arena,2020.0
Sun 6 Sep,Adelaide Thunderbirds,61,49,Collingwood Magpies,Priceline Stadium,2020.0
Tue 8 Sep,New South Wales Swifts,59,62,Melbourne Vixens,USC Stadium,2020.0
Tue 8 Sep,Sunshine Coast Lightning,52,72,West Coast Fever,USC Stadium,2020.0
Wed 9 Sep,Giants Netball,62,58,Collingwood Magpies,USC Stadium,2020.0
Wed 9 Sep,Adelaide Thunderbirds,59,61,Queensland Firebirds,Priceline Stadium,2020.0
Sat 12 Sep,West Coast Fever,80,71,New South Wales Swifts,Nissan Arena,2020.0
Sat 12 Sep,Collingwood Magpies,53,61,Melbourne Vixens,Nissan Arena,2020.0
Sun 13 Sep,Sunshine Coast Lightning,75,67,Queensland Firebirds,USC Stadium,2020.0
Sun 13 Sep,Adelaide Thunderbirds,54,64,Giants Netball,Priceline Stadium,2020.0
Wed 16 Sep,Collingwood Magpies,53,63,Sunshine Coast Lightning,Townsville Entertainment Centre,2020.0
Sat 19 Sep,West Coast Fever,71,66,Giants Netball,Cairns Pop Up Arena,2020.0
Sat 19 Sep,Adelaide Thunderbirds,54,57,New South Wales Swifts,Cairns Pop Up Arena,2020.0
Sun 20 Sep,Melbourne Vixens,58,64,Queensland Firebirds,Cairns Pop Up Arena,2020.0
Sat 26 Sep,Collingwood Magpies,63,65,Queensland Firebirds,Nissan Arena,2020.0
Sat 26 Sep,New South Wales Swifts,77,77,Giants Netball,Nissan Arena,2020.0
Sat 26 Sep,West Coast Fever,63,64,Adelaide Thunderbirds,Nissan Arena,2020.0
Sun 27 Sep,Sunshine Coast Lightning,54,58,Melbourne Vixens,USC Stadium,2020.0
